Time (s),Predicted SVID Combination
303,"[10, 12, 15, 18, 23, 24, 32]"
304,"[10, 12, 15, 18, 23, 24, 32]"
305,"[10, 12, 15, 18, 23, 24, 32]"
306,"[10, 12, 15, 18, 23, 24, 32]"
307,"[10, 12, 15, 18, 23, 24, 32]"
308,"[10, 12, 15, 18, 23, 24, 32]"
309,"[10, 12, 15, 18, 23, 24, 32]"
310,"[10, 12, 15, 18, 23, 24, 32]"
311,"[10, 12, 15, 18, 23, 24, 32]"
312,"[10, 12, 15, 18, 23, 24, 32]"
313,"[10, 12, 15, 18, 23, 24, 32]"
314,"[10, 12, 15, 18, 23, 24, 32]"
315,"[10, 12, 15, 18, 23, 24, 32]"
316,"[10, 12, 15, 18, 23, 24, 32]"
317,"[10, 12, 15, 18, 23, 24, 32]"
318,"[10, 12, 15, 18, 23, 24, 32]"
319,"[10, 12, 15, 18, 23, 24, 32]"
320,"[10, 12, 15, 18, 23, 24, 32]"
321,"[10, 12, 15, 18, 23, 24, 32]"
322,"[10, 12, 15, 18, 23, 24, 32]"
323,"[10, 12, 15, 18, 23, 24, 32]"
324,"[10, 12, 15, 18, 23, 24, 32]"
325,"[10, 12, 15, 18, 23, 24, 32]"
326,"[10, 12, 15, 18, 23, 24, 32]"
327,"[10, 12, 15, 18, 23, 24, 32]"
328,"[10, 12, 15, 18, 23, 24, 32]"
329,"[10, 12, 15, 18, 23, 24, 32]"
330,"[10, 12, 15, 18, 23, 24, 32]"
331,"[10, 12, 15, 18, 23, 24, 32]"
332,"[10, 12, 15, 18, 23, 24, 32]"
333,"[10, 12, 15, 18, 23, 24, 32]"
334,"[10, 12, 15, 18, 23, 24, 32]"
335,"[10, 12, 15, 18, 23, 24, 32]"
336,"[10, 12, 15, 18, 23, 24, 32]"
337,"[10, 12, 15, 18, 23, 24, 32]"
338,"[10, 12, 15, 18, 23, 24, 32]"
339,"[10, 12, 15, 18, 23, 24, 32]"
340,"[10, 12, 15, 18, 23, 24, 32]"
341,"[10, 12, 15, 18, 23, 24, 32]"
342,"[10, 12, 15, 18, 23, 24, 32]"
343,"[10, 12, 15, 18, 23, 24, 32]"
344,"[10, 12, 15, 18, 23, 24, 32]"
345,"[10, 12, 15, 18, 23, 24, 32]"
346,"[10, 12, 15, 18, 23, 24, 32]"
347,"[10, 12, 15, 18, 23, 24, 32]"
348,"[10, 12, 15, 18, 23, 24, 32]"
349,"[10, 12, 15, 18, 23, 24, 32]"
350,"[10, 12, 15, 18, 23, 24, 32]"
351,"[10, 12, 15, 18, 23, 24, 32]"
352,"[10, 12, 15, 18, 23, 24, 32]"
353,"[10, 12, 15, 18, 23, 24, 32]"
354,"[10, 12, 15, 18, 23, 24, 32]"
355,"[10, 12, 15, 18, 23, 24, 32]"
356,"[10, 12, 15, 18, 23, 24, 32]"
357,"[10, 12, 15, 18, 23, 24, 32]"
358,"[10, 12, 15, 18, 23, 24, 32]"
359,"[10, 12, 15, 18, 23, 24, 32]"
360,"[10, 12, 15, 18, 23, 24, 32]"
361,"[10, 12, 15, 18, 23, 24, 32]"
362,"[10, 12, 15, 18, 23, 24, 32]"
363,"[10, 12, 15, 18, 23, 24, 32]"
364,"[10, 12, 15, 18, 23, 24, 32]"
365,"[10, 12, 15, 18, 23, 24, 32]"
366,"[10, 12, 15, 18, 23, 24, 32]"
367,"[10, 12, 15, 18, 23, 24, 32]"
368,"[10, 12, 15, 18, 23, 24, 32]"
369,"[10, 12, 15, 18, 23, 24, 32]"
370,"[10, 12, 15, 18, 23, 24, 32]"
371,"[10, 12, 15, 18, 23, 24, 32]"
372,"[10, 12, 15, 18, 23, 24, 32]"
373,"[10, 12, 15, 18, 23, 24, 32]"
374,"[10, 12, 15, 18, 23, 24, 32]"
375,"[10, 12, 15, 18, 23, 24, 32]"
376,"[10, 12, 15, 18, 23, 24, 32]"
377,"[10, 12, 15, 18, 23, 24, 32]"
378,"[10, 12, 15, 18, 23, 24, 32]"
379,"[10, 12, 15, 18, 23, 24, 32]"
380,"[10, 12, 15, 18, 23, 24, 32]"
381,"[10, 12, 15, 18, 23, 24, 32]"
382,"[10, 12, 15, 18, 23, 24, 32]"
383,"[10, 12, 15, 18, 23, 24, 32]"
384,"[10, 12, 15, 18, 23, 24, 32]"
385,"[10, 12, 15, 18, 23, 24, 32]"
386,"[10, 12, 15, 18, 23, 24, 32]"
387,"[10, 12, 15, 18, 23, 24, 32]"
388,"[10, 12, 15, 18, 23, 24, 32]"
389,"[10, 12, 15, 18, 23, 24, 32]"
